posicion,dorsal,atleta,categoria,tiempo
Número,Nombre,Modalidad,KM,Tiempo
223,MIROSLAVA SENET VIDALES HERNADEZ,1,1,00:29:08
211,ALONDRA ISLAS MARURE,2,2,00:33:24
302,ISAÍAS SOLIS CASTRO,2,2,00:31:13
229,CINTHYA PAOLA MORA PADRÓN,1,1,00:28:59
205,JUAN ANTONIO RAMIREZ SALAZAR,1,1,00:26:17
228,EDUARDO VEGA MARRUFO,2,2,00:31:03
30,JULIAN ANTONIO GARCÍA PEÑA,2,2,00:30:49
135,MARÍA DOLORES CAMPUSANO PERALES,2,2,00:32:54
175,MARTA LARA HERRERA,2,2,00:32:45
187,JOSÉ SALAS,2,2,00:30:22
168,ELENA MIROSLAVA MALDONADO GUTIÉRREZ,2,2,00:32:19
196,TANIA CAMILA RODRÍGUEZ ORTIZ,2,2,00:32:08
40,SALVADOR VILLALVAZO UGALDE,2,2,00:29:59
230,JUAN PABLO GARCIA VILLAREAL,2,2,00:29:57
225,ADRIANA YAÑEZ REYES,1,1,00:27:47
88,ALEXA CELESTE ÁVILA HUERTA,2,2,00:31:48
288,MARIA KURI BOTAYA,1,1,00:26:48
208,ISRAEL ISAIAS GONZALEZ PINEDA,1,1,00:23:57
389,BLANCA TAMARA FIGUEROA SANJUAN,1,1,00:26:27
348,ROSA ISELA CÁRDENAS FERRUSCA,1,1,00:26:26
89,KENIA MENESES,1,1,00:26:21
240,GUILLERMO BERNAL GONZÁLEZ,1,1,00:23:37
344,SILVIA MÓNICA JUACHE HERNÁNDEZ,1,1,00:26:12
156,FÁTIMA FLORES PATIÑO,2,2,00:30:15
44,SANTIAGO DIDIER LÓPEZ LÓPEZ,1,1,00:23:03
189,JORGE OCTAVIO FERNANDEZ GARCÍA,2,2,00:27:38
139,YANELI SARAI BALDERAS RAMOS,1,1,00:25:26
257,KARINA YAZMÍN ALMANZA HERNÁNDEZ,2,2,00:29:37
14,ANGELA NAVA PICHARDO,1,1,00:25:16
204,ALMA DENISSE ZAVALA CASTAÑEDA,1,1,00:25:03
364,GREGORIA ESTRELLA RENTERÍA RIVERA,1,1,00:25:00
372,DOMINIQUE D. DOMINGUEZ DORANTES,2,2,00:29:11
52,KARLA GABRIELA AGUILERA MAYERSTEIN,2,2,00:29:08
234,LEONARDO ANTONIO RAMIREZ GARCÍA,2,2,00:26:31
390,ALMA VALERIA GUTIÉRREZ ARIAS,1,1,00:24:19
182,MÓNICA DEL ROSARIO MUÑOZ LEZAMA,2,2,00:28:28
143,JOSÉ RODOLFO SALAZAR CASTILLO,1,1,00:21:13
273,ALEJANDRA ANGUIANO LEON,2,2,00:28:06
254,FLOR MARÍA DE GUADALUPE SARABIA RANGEL,1,1,00:23:29
69,LUIS FERNANDO RIVERA,1,1,00:20:36
61,LUZ GABRIELA RAMÍREZ RODRÍGUEZ,1,1,00:23:14
222,IRMA ESTER PEREYRA GOMEZ,2,2,00:27:16
185,CAROLINA SALAS,2,2,00:26:57
313,ERIKA MALDONADO MARTINEZ,1,1,00:22:38
201,GÉNESIS ABRIL CORTES OLVERA,2,2,00:26:50
199,LESLIE JENNIFER DEL CASTILLO CEPEDA,2,2,00:26:44
159,EVELYN BRAVO GARCÍA,1,1,00:21:58
167,SALVADOR SILVESTRE MALDONADO GUTIÉRREZ,1,1,00:19:02
85,JOSE GIBRAN ÁVILA HUERTA,1,1,00:18:44
195,AARON LEONARDO JIMÉNEZ VIDAUR,1,1,00:18:17
260,ALFONS0 LOZANO LOZANO,1,1,00:18:13
90,CLAUDIA YACUTA,1,1,00:20:48
54,JAIME LOMELÍN GAVALDON,2,2,00:22:39
59,LIAM SAMUEL HERNÁNDEZ RAMÍREZ,1,1,00:17:27
145,ETNA BERENICE BERUMEN ESPINOSA,1,1,00:20:05
251,MATEO OLVERA ZETINA,1,1,00:17:12
351,CÉSAR GAMBOA TREVIÑO,1,1,00:16:49
192,JULIO CESAR GUTIERREZ ARIAS,2,2,00:20:40
374,CARLOS ALBERTO MONTES FÉLIX,1,1,00:15:40
